MovieId,MovieName,Year,Genres,Artists
106,Idi i smotri,1985,Drama|Thriller|War,Aleksey Kravchenko|Olga Mironova|Liubomiras Laucevicius|Vladas Bagdonas
107,Aliens,1986,Action|Adventure|Sci-Fi,Sigourney Weaver|Michael Biehn|Carrie Henn|Paul Reiser
108,Amadeus,1984,Biography|Drama|History,F. Murray Abraham|Tom Hulce|Elizabeth Berridge|Roy Dotrice
109,Scarface,1983,Crime|Drama,Al Pacino|Michelle Pfeiffer|Steven Bauer|Mary Elizabeth Mastrantonio
110,Star Wars: Episode VI - Return of the Jedi,1983,Action|Adventure|Fantasy,Mark Hamill|Harrison Ford|Carrie Fisher|Billy Dee Williams
111,Das Boot,1981,Adventure|Drama|Thriller,Jürgen Prochnow|Herbert Grönemeyer|Klaus Wennemann|Hubertus Bengsch
112,Taxi Driver,1976,Crime|Drama,Robert De Niro|Jodie Foster|Cybill Shepherd|Albert Brooks
113,The Sting,1973,Comedy|Crime|Drama,Paul Newman|Robert Redford|Robert Shaw|Charles Durning
114,A Clockwork Orange,1971,Crime|Drama|Sci-Fi,Malcolm McDowell|Patrick Magee|Michael Bates|Warren Clarke
115,2001: A Space Odyssey,1968,Adventure|Sci-Fi,Keir Dullea|Gary Lockwood|William Sylvester|Daniel Richter
116,Per qualche dollaro in più,1965,Western,Clint Eastwood|Lee Van Cleef|Gian Maria Volontè|Mara Krupp
117,Lawrence of Arabia,1962,Adventure|Biography|Drama,Peter O'Toole|Alec Guinness|Anthony Quinn|Jack Hawkins
118,The Apartment,1960,Comedy|Drama|Romance,Jack Lemmon|Shirley MacLaine|Fred MacMurray|Ray Walston
119,North by Northwest,1959,Adventure|Mystery|Thriller,Cary Grant|Eva Marie Saint|James Mason|Jessie Royce Landis
120,Vertigo,1958,Mystery|Romance|Thriller,James Stewart|Kim Novak|Barbara Bel Geddes|Tom Helmore
121,Singin' in the Rain,1952,Comedy|Musical|Romance,Gene Kelly|Gene Kelly|Donald O'Connor|Debbie Reynolds
122,Ikiru,1952,Drama,Takashi Shimura|Nobuo Kaneko|Shin'ichi Himori|Haruo Tanaka
123,Ladri di biciclette,1948,Drama,Lamberto Maggiorani|Enzo Staiola|Lianella Carell|Elena Altieri
124,Double Indemnity,1944,Crime|Drama|Film-Noir,Fred MacMurray|Barbara Stanwyck|Edward G. Robinson|Byron Barr
125,Citizen Kane,1941,Drama|Mystery,Orson Welles|Joseph Cotten|Dorothy Comingore|Agnes Moorehead
126,M - Eine Stadt sucht einen Mörder,1931,Crime|Mystery|Thriller,Peter Lorre|Ellen Widmann|Inge Landgut|Otto Wernicke
127,Metropolis,1927,Drama|Sci-Fi,Brigitte Helm|Alfred Abel|Gustav Fröhlich|Rudolf Klein-Rogge
128,The Kid,1921,Comedy|Drama|Family,Charles Chaplin|Edna Purviance|Jackie Coogan|Carl Miller
129,Chhichhore,2019,Comedy|Drama,Sushant Singh Rajput|Shraddha Kapoor|Varun Sharma|Prateik
130,Uri: The Surgical Strike,2018,Action|Drama|War,Vicky Kaushal|Paresh Rawal|Mohit Raina|Yami Gautam
131,K.G.F: Chapter 1,2018,Action|Drama,Yash|Srinidhi Shetty|Ramachandra Raju|Archana Jois
132,Green Book,2018,Biography|Comedy|Drama,Viggo Mortensen|Mahershala Ali|Linda Cardellini|Sebastian Maniscalco
133,"Three Billboards Outside Ebbing, Missouri",2017,Comedy|Crime|Drama,Frances McDormand|Woody Harrelson|Sam Rockwell|Caleb Landry Jones
134,Talvar,2015,Crime|Drama|Mystery,Irrfan Khan|Konkona Sen Sharma|Neeraj Kabi|Sohum Shah
135,Baahubali 2: The Conclusion,2017,Action|Drama,Prabhas|Rana Daggubati|Anushka Shetty|Tamannaah Bhatia
136,Klaus,2019,Animation|Adventure|Comedy,Carlos Martínez López|Jason Schwartzman|J.K. Simmons|Rashida Jones
137,Drishyam,2015,Crime|Drama|Mystery,Ajay Devgn|Shriya Saran|Tabu|Rajat Kapoor
138,Queen,2013,Adventure|Comedy|Drama,Kangana Ranaut|Rajkummar Rao|Lisa Haydon|Jeffrey Ho
139,Mandariinid,2013,Drama|War,Lembit Ulfsak|Elmo Nüganen|Giorgi Nakashidze|Misha Meskhi
140,Bhaag Milkha Bhaag,2013,Biography|Drama|Sport,Farhan Akhtar|Sonam Kapoor|Pawan Malhotra|Art Malik
141,Gangs of Wasseypur,2012,Action|Comedy|Crime,Manoj Bajpayee|Richa Chadha|Nawazuddin Siddiqui|Tigmanshu Dhulia
142,Udaan,2010,Drama,Rajat Barmecha|Ronit Roy|Manjot Singh|Ram Kapoor
143,Paan Singh Tomar,2012,Action|Biography|Crime,Irrfan Khan|Mahie Gill|Rajesh Abhay|Hemendra Dandotiya
144,El secreto de sus ojos,2009,Drama|Mystery|Romance,Ricardo Darín|Soledad Villamil|Pablo Rago|Carla Quevedo
145,Warrior,2011,Action|Drama|Sport,Tom Hardy|Nick Nolte|Joel Edgerton|Jennifer Morrison
146,Shutter Island,2010,Mystery|Thriller,Leonardo DiCaprio|Emily Mortimer|Mark Ruffalo|Ben Kingsley
147,Up,2009,Animation|Adventure|Comedy,Bob Peterson|Edward Asner|Jordan Nagai|John Ratzenberger
148,The Wolf of Wall Street,2013,Biography|Crime|Drama,Leonardo DiCaprio|Jonah Hill|Margot Robbie|Matthew McConaughey
